Seconds,Longitude,Latitude,Altitude
42368.868,-2.835750743,55.89105515,65.1
42368.901,-2.83575153,55.89105599,65.1
42368.935,-2.835752453,55.89105697,65.1
42368.968,-2.835753384,55.89105794,65.1
42369.002,-2.835754323,55.89105891,65.1
42369.036,-2.83575514,55.89105973,65.1
42369.07,-2.835755868,55.89106067,65.1
42369.103,-2.835756805,55.8910616,65.1
42369.137,-2.835757755,55.89106253,65.1
42369.171,-2.835758579,55.89106332,65.1
42369.205,-2.835759553,55.89106425,65.1
42369.238,-2.835760537,55.89106517,65.1
42369.272,-2.83576132,55.89106617,65.1
42369.306,-2.835762187,55.89106699,65.1
42369.339,-2.83576321,55.89106795,65.1
42369.373,-2.835764245,55.8910689,65.1
42369.406,-2.83576514,55.89106972,65.1
42369.44,-2.8357662,55.89107066,65.1
42369.473,-2.835767154,55.89107166,65.1
42369.507,-2.835768256,55.8910726,65.1
42369.541,-2.835769212,55.8910734,65.2
42369.574,-2.835770343,55.89107434,65.2
42369.608,-2.835771494,55.89107528,65.2
42369.641,-2.835772498,55.89107609,65.2
42369.675,-2.835773628,55.89107713,65.2
42369.708,-2.835774863,55.8910781,65.2
42369.742,-2.835776119,55.89107907,65.2
42369.776,-2.835777211,55.8910799,65.2
42369.809,-2.835778503,55.89108088,65.2
42369.843,-2.835779809,55.89108186,65.2
42369.876,-2.835780963,55.89108282,65.2
42369.91,-2.835782328,55.89108384,65.2
42369.943,-2.835783714,55.89108485,65.2
42369.977,-2.835785118,55.89108587,65.2
42370.011,-2.835786334,55.89108675,65.2
42370.044,-2.835787767,55.89108777,65.2
42370.078,-2.835789252,55.89108889,65.2
42370.111,-2.835790512,55.89108978,65.2
42370.145,-2.835791995,55.89109082,65.2
42370.178,-2.835793493,55.89109187,65.2
42370.212,-2.835795005,55.89109293,65.2
42370.246,-2.835796308,55.89109384,65.2
42370.279,-2.835797971,55.89109506,65.2
42370.312,-2.835799543,55.89109615,65.2
42370.346,-2.835800896,55.8910971,65.2
42370.38,-2.835802478,55.8910982,65.2
42370.413,-2.835804062,55.89109931,65.2
42370.447,-2.835805653,55.89110043,65.2
42370.481,-2.835807062,55.89110149,65.2
42370.514,-2.835808649,55.89110262,65.2
42370.548,-2.835810238,55.89110376,65.2
42370.581,-2.835811595,55.89110475,65.2
42370.615,-2.835813171,55.8911059,65.2
42370.649,-2.835814741,55.89110706,65.2
42370.682,-2.835816402,55.89110838,65.2
42370.716,-2.835817736,55.8911094,65.2
42370.749,-2.835819266,55.8911106,65.2
42370.783,-2.835820768,55.89111181,65.2
42370.816,-2.835822034,55.89111285,65.2
42370.85,-2.835823489,55.89111406,65.2
42370.884,-2.835824928,55.89111539,65.2
42370.917,-2.835826319,55.89111661,65.2
42370.951,-2.835827494,55.89111765,65.2
42370.985,-2.835828839,55.89111887,65.2
42371.018,-2.835830155,55.89112009,65.2
42371.052,-2.835831441,55.89112131,65.1
42371.086,-2.835832143,55.89112221,65.1
42371.119,-2.835833209,55.89112333,65.1
42371.153,-2.835834259,55.89112444,65.1
42371.186,-2.835835146,55.89112539,65.1
42371.22,-2.835836162,55.8911265,65.1
42371.253,-2.835837161,55.8911276,65.1
42371.287,-2.835838265,55.89112887,65.1
42371.321,-2.835839229,55.89112988,65.1
42371.354,-2.835840334,55.89113107,65.2
42371.388,-2.835841418,55.89113225,65.2
42371.421,-2.835842332,55.89113326,65.2
42371.455,-2.835843389,55.89113444,65.2
42371.488,-2.835844639,55.89113564,65.2
42371.522,-2.835845724,55.8911368,65.2
42371.556,-2.835846642,55.89113778,65.2
42371.589,-2.835847703,55.89113894,65.2
42371.623,-2.835848752,55.89114009,65.2
42371.656,-2.835849641,55.89114108,65.2
42371.69,-2.835850826,55.89114223,65.2
42371.724,-2.835851849,55.89114336,65.2
42371.758,-2.835852858,55.8911445,65.2
42371.791,-2.835853712,55.89114547,65.2
42371.825,-2.835854695,55.89114661,65.2
42371.858,-2.835855526,55.89114758,65.1
42371.892,-2.835856908,55.89114886,65.1
42371.926,-2.835857764,55.89114982,65.1
42371.959,-2.835858747,55.89115094,65.1
42371.993,-2.835859717,55.89115205,65.1
42372.026,-2.835860535,55.891153,65.1
42372.06,-2.835861763,55.89115412,65.1
42372.093,-2.835862742,55.89115523,65.1
42372.127,-2.835863706,55.89115632,65.1
42372.161,-2.83586452,55.89115726,65.1
42372.194,-2.835865453,55.89115835,65.1
42372.228,-2.835866374,55.89115943,65.1
42372.261,-2.835867137,55.89116035,65.1
42372.295,-2.835868285,55.89116133,65.1
42372.328,-2.835869183,55.89116237,65.1
42372.362,-2.835870065,55.89116339,65.2
42372.396,-2.835870808,55.89116427,65.2
42372.429,-2.835871665,55.89116529,65.2
42372.463,-2.835872846,55.89116632,65.2
42372.497,-2.835873745,55.89116736,65.2
42372.531,-2.835874507,55.89116825,65.2
42372.565,-2.835875386,55.89116928,65.2
42372.598,-2.835876253,55.89117031,65.2
42372.632,-2.83587711,55.89117133,65.2
42372.666,-2.835878105,55.89117221,65.2
42372.699,-2.835878957,55.89117322,65.2
42372.733,-2.835879797,55.89117423,65.2
42372.766,-2.835880511,55.89117509,65.2
42372.8,-2.835881339,55.89117609,65.2
